epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6795313,0.50401866,0.6502889132499695,0.84125,0.5849741,0.4949010494351387
1,0.83703125,0.5798084,0.5042700723558664,0.844375,0.6494113,0.4749033191800118
2,0.849375,0.66750133,0.47503787249326707,0.85,0.6738748,0.46948056772351265
3,0.84953123,0.7137281,0.4623422086238861,0.859375,0.7118173,0.4597729130089283
4,0.8571875,0.7407654,0.4486769346892834,0.855,0.7290886,0.44944702088832855
5,0.8564063,0.76751995,0.441580628156662,0.856875,0.75449145,0.4498595267534256
6,0.8584375,0.78302675,0.4357569186389446,0.853125,0.75281245,0.45147705435752866
7,0.86359376,0.8085809,0.42442732483148576,0.854375,0.7461064,0.45966639533638953
8,0.8596875,0.81479657,0.4248927147313952,0.855625,0.7687551,0.4527016665041447
9,0.86859375,0.83045834,0.4156448605284095,0.8575,0.77626336,0.4480158914625645
10,0.869375,0.8332461,0.4142714734748006,0.871875,0.7962994,0.4261912479996681
11,0.87328124,0.84866625,0.4063912871852517,0.85375,0.78510773,0.4568883100152016
12,0.87328124,0.8479444,0.40863040581345556,0.86125,0.81208986,0.4254096083343029
13,0.87328124,0.854827,0.4037547488510609,0.866875,0.8241539,0.4228598836064339
14,0.87890625,0.8636579,0.3985703634098172,0.865,0.80777735,0.42523845851421355
15,0.87953126,0.86367,0.3970490250363946,0.86875,0.8148413,0.4190526920557022
16,0.87640625,0.87240297,0.3934410005807877,0.858125,0.8184798,0.44640451863408087
17,0.8771875,0.8756594,0.39296784773468973,0.87625,0.81392413,0.4228922346234322
18,0.881875,0.87954134,0.3885963312163949,0.870625,0.79416245,0.4309372664988041
19,0.8828125,0.8788926,0.38915039170533416,0.859375,0.8152051,0.45409982427954676
20,0.8853125,0.8827575,0.38566506661474703,0.860625,0.8201574,0.4404534013569355
21,0.88328123,0.884424,0.38746967624872924,0.865625,0.8353113,0.4330885609984398
22,0.884375,0.8867035,0.38448983695358036,0.864375,0.84043944,0.42782830595970156
23,0.88671875,0.89037347,0.382792109772563,0.85875,0.8329252,0.437996651083231
24,0.88734376,0.8902385,0.382397755086422,0.8575,0.8406483,0.45309810623526575
25,0.8925,0.8952352,0.3777437423914671,0.875,0.83953273,0.4131492391228676
26,0.8884375,0.89055604,0.38029154688119887,0.866875,0.8396074,0.43110124826431273
27,0.88609374,0.89337695,0.38119024951010944,0.86375,0.8325554,0.41995119869709013
28,0.889375,0.8961307,0.37786427412182094,0.86625,0.8394776,0.4234220889210701
29,0.888125,0.9026827,0.3731296357139945,0.85625,0.83691716,0.4624552798271179
30,0.89140624,0.89960456,0.37445722058415415,0.858125,0.8269604,0.4358463002741337
31,0.89234376,0.90896666,0.36795966379344464,0.871875,0.8411717,0.4277552098035812
0,0.92238104,0.9684678,0.2926431864679778,0.8675,0.8445061,0.418286572098732
1,0.9271834,0.9702833,0.27691898814317023,0.869375,0.8449952,0.4141884621977806
2,0.9272951,0.9694334,0.27841598259462746,0.86625,0.84597486,0.4137371538579464
3,0.9258432,0.96974534,0.27822132329070626,0.86375,0.8439916,0.42083498790860174
4,0.929417,0.9715207,0.2765774500604344,0.8725,0.8455051,0.41298624366521836
5,0.9252848,0.9709026,0.27663705749439294,0.87125,0.84731853,0.41250164061784744
6,0.929082,0.97131693,0.2756903497321227,0.865,0.8427151,0.41586096823215485
7,0.9295287,0.97341543,0.2725451198011896,0.868125,0.83927333,0.4277929562330246
8,0.93310255,0.97285885,0.27313350884941556,0.868125,0.84683824,0.41205245241522787
9,0.92874694,0.9727478,0.27296479110582506,0.868125,0.84294015,0.4203858406841755
10,0.93098056,0.97280097,0.2725674471259783,0.86875,0.8451577,0.41357903331518175
11,0.9275184,0.9730248,0.2732850336219041,0.869375,0.84731543,0.41172407314181325
12,0.92785347,0.97067773,0.27568998914865184,0.86625,0.8423721,0.420488518178463
13,0.9291937,0.97167015,0.2728803331148473,0.870625,0.8458617,0.4145558851957321
14,0.92807686,0.9717569,0.2746282782416432,0.869375,0.8394627,0.4134185688197613
15,0.92539644,0.9712694,0.27344766778420837,0.873125,0.8441168,0.41203190669417383
16,0.92774177,0.9718256,0.27352904575143194,0.8675,0.8396014,0.42079286321997644
17,0.92986375,0.9726751,0.27282950514750687,0.874375,0.8360479,0.4283228299021721
18,0.9274067,0.9723142,0.27167638738905714,0.87,0.8358943,0.4165766276419163
19,0.9301988,0.97219276,0.27199089958155453,0.875,0.8458123,0.41179160848259927
20,0.93109226,0.97175115,0.27300153896695195,0.866875,0.84192324,0.4182395698130131
21,0.9296404,0.9731058,0.2714139218871711,0.868125,0.83963263,0.4200331424176693
22,0.9291937,0.97288245,0.27194612703074134,0.868125,0.8387007,0.4240765719115734
23,0.92885864,0.97006035,0.27395112462373405,0.87375,0.83547825,0.4197670412063599
24,0.9352245,0.9740081,0.2696964349934691,0.87375,0.8334995,0.4192312097549438
25,0.93086886,0.9754196,0.26879764030574554,0.874375,0.8239227,0.42044144958257673
26,0.9291937,0.9733943,0.2709385146479908,0.868125,0.8229385,0.4289702168107033
27,0.9338843,0.9775387,0.26655010490617714,0.866875,0.8313789,0.4309430420398712
28,0.93779314,0.9780874,0.26595578422390886,0.871875,0.840681,0.43046164870262144
29,0.9376815,0.9801107,0.2631672904750772,0.870625,0.8414699,0.42164588332176206
30,0.9406969,0.97947633,0.2629514702241922,0.875,0.8368516,0.4245459121465683
31,0.94360065,0.98181283,0.26082567920209787,0.8725,0.83549607,0.42831455543637276
0,0.92885864,0.9728079,0.2742699063567144,0.87,0.84751534,0.4139245222508907
1,0.9334376,0.97429657,0.27003970067230004,0.870625,0.8477375,0.4140703551471233
