epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6728125,0.5099921,0.6433576411008834,0.844375,0.5945623,0.4951270663738251
1,0.83484375,0.6610942,0.4865102180093527,0.849375,0.7242389,0.45645724013447764
2,0.8435938,0.72890896,0.46196271784603593,0.864375,0.7838763,0.43447048500180246
3,0.85125,0.7747822,0.44644566278904674,0.864375,0.7990196,0.4286100876331329
4,0.8540625,0.79704297,0.4383959415927529,0.866875,0.79607344,0.4302449205517769
5,0.85796875,0.8187585,0.4295897793769836,0.86625,0.79069966,0.4309195414185524
6,0.86140627,0.8207666,0.4268106079846621,0.86625,0.8089695,0.42989540174603463
7,0.8646875,0.8339098,0.421534760594368,0.865625,0.7839643,0.44107784688472745
8,0.86859375,0.84381294,0.4150023405253887,0.86625,0.8264069,0.4198956680297852
9,0.8640625,0.8519623,0.4118207634240389,0.875625,0.81113166,0.42280030190944673
10,0.8725,0.84759074,0.4115160647407174,0.86875,0.8287146,0.41727436929941175
11,0.8715625,0.8571225,0.4082118060439825,0.8725,0.8114123,0.4237441954016685
12,0.8678125,0.8619834,0.40598985090851786,0.860625,0.8121082,0.43041007936000825
13,0.8751562,0.86855894,0.40167100451886656,0.87,0.8318382,0.4162532013654709
14,0.8726562,0.86734265,0.40327901411801576,0.86375,0.8277109,0.42264316856861117
15,0.8726562,0.86826926,0.4016342910006642,0.866875,0.8307435,0.4171293094754219
16,0.87640625,0.87986356,0.3950120861083269,0.87125,0.86265856,0.40211921885609625
17,0.88109374,0.8757405,0.39605748824775217,0.855,0.843162,0.42168502762913707
18,0.8765625,0.8764005,0.3963208770751953,0.86375,0.8426055,0.42253384083509443
19,0.8790625,0.882685,0.393928646184504,0.8475,0.84097695,0.43266822963953017
20,0.8773438,0.88205814,0.3939989211410284,0.864375,0.847955,0.4116425552964211
21,0.87953126,0.88432235,0.39208053056150677,0.86625,0.84363353,0.4106205931305885
22,0.8771875,0.8899396,0.3903016697987914,0.869375,0.8598367,0.4015021756291389
23,0.88484377,0.8923726,0.38745309464633465,0.875625,0.82279056,0.42019549950957297
24,0.883125,0.8941,0.38666517674922946,0.860625,0.84037346,0.42059348613023756
25,0.8796875,0.8888837,0.3892454489693046,0.86875,0.84154564,0.41276811331510543
26,0.8859375,0.89346987,0.38665038187056777,0.85375,0.8515183,0.4241102996468544
27,0.8851563,0.8986452,0.38307628851383924,0.849375,0.8440702,0.42554087087512016
28,0.8878125,0.8990167,0.3830337508767843,0.855,0.85130143,0.4224497199058533
29,0.8879688,0.9001283,0.3811616515740752,0.869375,0.8368012,0.4137800371646881
30,0.88609374,0.90397644,0.3808169919997454,0.873125,0.8513681,0.4164512883126736
31,0.88359374,0.9035632,0.38183164823800325,0.875,0.85408074,0.40488759100437166
0,0.916797,0.9668687,0.31401258597875614,0.876875,0.8523508,0.4052702422440052
1,0.9198124,0.96510386,0.29006828972476917,0.874375,0.8523068,0.40312769085168837
2,0.92171097,0.96786976,0.28401321029926696,0.87375,0.85523164,0.4032065230607986
0,0.70203125,0.523595,0.6214365127682686,0.8375,0.5947624,0.4974541509151459
1,0.8334375,0.6507547,0.49031574189662935,0.84875,0.71764755,0.45851468563079834
2,0.84765625,0.73535436,0.45923770885914567,0.8575,0.77000976,0.4416075885295868
3,0.85046875,0.77646303,0.4454497903212905,0.861875,0.78669816,0.433796369433403
0,0.70203125,0.523595,0.6214365127682686,0.8375,0.5947624,0.4974541509151459
1,0.8334375,0.6507547,0.49031574189662935,0.84875,0.71764755,0.45851468563079834
2,0.84765625,0.73535436,0.45923770885914567,0.8575,0.77000976,0.4416075885295868
3,0.85046875,0.77646303,0.4454497903212905,0.861875,0.78669816,0.433796369433403
4,0.8571875,0.7980417,0.43706506747752427,0.870625,0.7947679,0.4324016126990318
5,0.8617188,0.820497,0.42728868149220944,0.876875,0.7875245,0.433793309032917
6,0.8625,0.82687235,0.42417842395603655,0.863125,0.79269964,0.44951600417494775
7,0.8620312,0.8315497,0.42206243455410003,0.865625,0.7737975,0.4464202125370502
8,0.8695313,0.8378759,0.41793125368654727,0.866875,0.8040082,0.42764852166175843
9,0.86890626,0.83867836,0.41702632516622545,0.868125,0.77740324,0.4388987627625465
10,0.87140626,0.84919596,0.41180616829544303,0.86875,0.8185191,0.42137259379029274
11,0.87328124,0.85151017,0.4104753917828202,0.87,0.8173941,0.42088149279356
12,0.8726562,0.8604869,0.40660609252750873,0.856875,0.80968523,0.43363934084773065
13,0.87359375,0.86850816,0.4019472409039736,0.846875,0.8093137,0.4414094543457031
14,0.8701562,0.8624846,0.40560047671198846,0.854375,0.80522573,0.43227610632777214
15,0.87703127,0.8719303,0.4009670351818204,0.86875,0.8082614,0.43331799551844596
16,0.87625,0.8777491,0.39619000181555747,0.870625,0.8403629,0.41863054141402245
17,0.87890625,0.87699133,0.39602397944778206,0.846875,0.8233091,0.43756715178489686
